,production_companies,release_year,revenue
632,R.P. Productions,2005,42093706
633,Twentieth Century Fox Film Corporation,2005,56681566
634,Miramax Films,2014,39407616
635,Columbia Pictures,1999,74608570
636,Universal Pictures,2015,203427584
637,DavisFilms,2006,132180323
638,New Line Cinema,2002,296655431
639,The Weinstein Company,2009,44091067
640,Universal Pictures,1993,920100000
641,Tig Productions,1994,25052000
642,Paramount Pictures,1994,215887717
643,Revolution Studios,2006,101595121
644,Universal Pictures,2000,127666415
645,Columbia Pictures,1995,107879496
646,Paramount Pictures,2008,41819064
647,Franchise Pictures,2001,18720175
648,Double Feature Films,2015,155760117
649,Universal Pictures,2011,183953723
650,Virtual Studios,2006,422610419
651,DreamWorks SKG,2004,516642939
652,Sunswept Entertainment,2008,244082376
653,Castle Rock Entertainment,1999,284600000
654,Walt Disney Pictures,2005,314432665
655,Twentieth Century Fox Film Corporation,2014,369330363
656,Universal Pictures,2002,214034224
657,United Artists,1995,352194034
658,Paramount Pictures,1999,149705852
659,Paramount Pictures,1998,264118201
660,DreamWorks SKG,1998,218613188
661,Columbia Pictures,2003,164433867
662,Universal Studios,2013,131940411
663,Village Roadshow Pictures,2001,93375151
664,De Line Pictures,2003,176070171
665,Village Roadshow Pictures,2002,93354918
666,DreamWorks SKG,1998,171757863
667,Universal Pictures,2009,171844840
668,Paramount Pictures,1990,157920733
669,Twentieth Century Fox Film Corporation,2005,129181830
670,Gotham Group,2015,311256926
671,Columbia Pictures,2010,204594016
672,DC Comics,2010,71664962
673,Donners' Company,1999,100230832
674,Wildwood Enterprises,1998,186883563
675,Paramount Pictures,2004,217764291
676,Universal Pictures,2002,165333180
677,Casey Silver Productions,2004,74541707
678,Paramount Pictures,2012,218340595
679,Village Roadshow Pictures,1999,73648228
680,Double Feature Films,2011,137551594
681,Focus Features,2009,124596398
682,Spyglass Entertainment,2008,163403799
683,Regency Enterprises,2004,130293714
684,Walt Disney Pictures,2006,61112916
685,Weed Road Pictures,2004,170268750
686,Twentieth Century Fox Film Corporation,1996,129832389
687,Revolution Studios,2004,99318987
688,Paramount Pictures,1998,56702901
689,Focus Features,2012,107139399
690,Universal Pictures,1997,159330280
691,Paramount Pictures,2003,96269812
692,Larger Than Life Productions,2008,50877145
693,Regency Enterprises,1995,104324083
694,Paramount Pictures,2014,50549107
695,Fox 2000 Pictures,2015,101134059
696,Millennium Films,2016,205754447
697,Twentieth Century Fox Film Corporation,1997,162000000
698,Paramount Pictures,2007,95696996
699,Laika Entertainment,2014,108255770
700,Village Roadshow Pictures,1998,46683377
701,Village Roadshow Pictures,2014,469160692
702,The Zanuck Company,2002,43061982
703,Village Roadshow Pictures,2013,105200903
704,Columbia Pictures,2009,62357900
705,Spyglass Entertainment,2009,122233971
706,Universal Pictures,2009,87784194
707,Universal Pictures,2009,60000000
708,Walt Disney Pictures,1999,36850101
709,Twentieth Century Fox Film Corporation,2006,77920346
710,TriStar Pictures,2009,104945765
711,Paramount Pictures,2002,67312826
712,Imagine Entertainment,2003,119940815
713,Icon Productions,2010,74901339
714,Paramount Pictures,1997,33956608
715,Village Roadshow Pictures,2002,55003135
716,Grosvenor Park Media Ltd.,2008,73174566
717,DreamWorks,2009,31720158
718,DreamWorks SKG,2000,39459427
719,Columbia Pictures,2000,47383689
720,Original Film,2005,71073932
721,Screen Gems,2011,78309131
722,DreamWorks Animation,2003,26288320
723,Paramount Pictures,1997,26673242
724,Universal Pictures,2002,52322400
725,Universal Pictures,2006,49111202
726,Ingenious Film Partners,2006,17800000
727,DreamWorks SKG,2001,27642707
728,United Artists,2000,14828081
729,Village Roadshow Pictures,2014,30800231
730,Constantin Film Produktion,2013,90565421
731,Twentieth Century Fox Film Corporation,2008,50650079
732,Vertigo Entertainment,2005,25473093
733,New Line Cinema,2008,57490374
734,DC Comics,2008,39031337
735,Lionsgate,2015,30418560
